rt;key_press;correct;coherent_movement_direction;coherent_orientation;task_type;task_transition;congruency
1456;j;TRUE;180;0;or;repetition;incongruent
1161;f;TRUE;180;180;mov;switch;congruent
1188;f;FALSE;180;0;or;switch;incongruent
1513;j;TRUE;180;0;or;repetition;incongruent
1241;f;TRUE;180;0;mov;switch;incongruent
712;j;TRUE;0;0;mov;repetition;congruent
709;f;TRUE;180;0;mov;repetition;incongruent
1767;j;FALSE;0;180;or;switch;incongruent
903;j;TRUE;0;180;mov;switch;incongruent
1517;j;TRUE;180;0;or;switch;incongruent
1401;f;TRUE;180;180;mov;switch;congruent
1518;f;TRUE;0;180;or;switch;incongruent
1169;f;TRUE;180;180;mov;switch;congruent
676;j;TRUE;0;180;mov;repetition;incongruent
752;j;TRUE;0;180;mov;repetition;incongruent
724;j;TRUE;0;180;mov;repetition;incongruent
1439;j;TRUE;0;0;or;switch;congruent
1952;j;TRUE;0;0;or;repetition;congruent
-1;;FALSE;180;0;or;repetition;incongruent
950;f;TRUE;0;180;or;repetition;incongruent
673;f;TRUE;180;180;mov;switch;congruent
729;f;TRUE;180;0;mov;repetition;incongruent
625;j;TRUE;0;0;mov;repetition;congruent
1024;f;TRUE;0;180;or;switch;incongruent
1200;f;TRUE;180;180;mov;switch;congruent
732;f;TRUE;180;0;mov;repetition;incongruent
638;j;TRUE;0;0;mov;repetition;congruent
708;f;TRUE;180;0;mov;repetition;incongruent
657;j;TRUE;0;180;mov;repetition;incongruent
